city,title,url,draft_changes,body_text_changed,body_size_delta,hero_alt_locales_filled,draft_last_edited,links_waiting,doc_id,decision
qena,Food in Qena,/guide/qena/food-in-qena,body heroImage seo slug summary title,yes,-14533,0/3,2026-06-12,6,wp-page-60336,
qena,Getting Around Qena,/guide/qena/navigating-qena,body heroImage seo slug summary title,yes,-18165,0/3,2026-06-12,23,wp-page-60324,
qena,How to Get to Qena,/guide/qena/transport-to-qena,body heroImage section seo slug summary title,yes,-18541,0/3,2026-06-12,24,wp-page-60322,
qena,Only in Qena,/guide/qena/only-in-qena,body heroImage seo slug summary title,yes,-22778,0/3,2026-06-12,8,wp-page-60340,
qena,Qena History,/guide/qena/qena-historical-overview,body heroImage seo slug summary title,yes,-23327,3/3,2026-07-04,22,wp-page-60320,
qena,Things to Do in Qena,/guide/qena/things-to-do-in-qena,body heroImage kind seo slug summary title,yes,-24137,3/3,2026-07-04,21,wp-page-60333,
qena,Ticket Prices for Attractions in Qena,/guide/qena/ticket-prices-for-attractions-in-qena,body heroImage,no,0,0/3,2026-06-12,2,wp-page-72338,
qena,Weather in Qena,/guide/qena/weather-in-qena,body heroImage seo slug summary title,yes,-18008,0/3,2026-06-12,15,wp-page-60321,
qena,Where to Stay in Qena,/guide/qena/top-hotels-in-qena,body heroImage seo slug summary title,yes,-15107,0/3,2026-06-12,9,wp-page-60323,
ras-sudr,Food in Ras Sudr,/guide/ras-sudr/top-restaurants-in-ras-sudr,body heroImage seo slug summary title,yes,-11560,0/3,2026-06-12,6,wp-page-75745,
ras-sudr,Getting Around Ras Sudr,/guide/ras-sudr/ras-sudr-local-transport-guide,body heroImage seo slug summary title,yes,-14722,0/3,2026-06-12,15,wp-page-60383,
ras-sudr,Getting to Ras Sudr,/guide/ras-sudr/travel-to-ras-sudr,body heroImage seo slug summary title,yes,-12541,0/3,2026-06-12,19,wp-page-60381,
ras-sudr,Only in Ras Sudr,/guide/ras-sudr/only-in-ras-sudr,body heroImage seo slug summary title,yes,-8441,0/3,2026-06-12,10,wp-page-60388,
ras-sudr,Ras Sudr History,/guide/ras-sudr/ras-sudr-ancient-past,body heroImage seo slug summary title,yes,-18054,0/3,2026-06-12,15,wp-page-60370,
ras-sudr,Ras Sudr Weather and Best Time to Visit,/guide/ras-sudr/ras-sudr-climate,body heroImage seo slug summary title,yes,-14664,0/3,2026-06-12,8,wp-page-60380,
ras-sudr,Things to Do in Ras Sudr,/guide/ras-sudr/things-to-do-in-ras-sudr,body heroImage kind seo slug summary title,yes,-20539,0/3,2026-06-12,18,wp-page-60384,
ras-sudr,Where to Stay in Ras Sudr,/guide/ras-sudr/places-to-stay-in-ras-sudr,body heroImage section seo slug summary title,yes,-17034,0/3,2026-06-12,11,wp-page-60382,
rosetta-rasheed,Best Rosetta Tours,/guide/rosetta-rasheed/best-rosetta-tours,body heroImage hidden kind,no,0,0/3,2026-06-12,2,wp-page-60424,
rosetta-rasheed,Getting Around Rosetta,/guide/rosetta-rasheed/getting-around-rosetta,body heroImage hidden,no,0,0/3,2026-06-12,1,wp-page-60422,
rosetta-rasheed,Past and Present Rosetta,/guide/rosetta-rasheed/past-and-present-rosetta,body heroImage hidden,no,0,0/3,2026-06-12,3,wp-page-60416,
rosetta-rasheed,Rosetta Arrival Guide,/guide/rosetta-rasheed/rosetta-arrival-guide,body heroImage hidden,no,0,0/3,2026-06-12,6,wp-page-60420,
rosetta-rasheed,Stay in Rosetta,/guide/rosetta-rasheed/stay-in-rosetta,body heroImage hidden,no,0,0/3,2026-06-12,6,wp-page-60421,
rosetta-rasheed,Taste of Rosetta,/guide/rosetta-rasheed/taste-of-rosetta,body heroImage hidden,no,0,0/3,2026-06-12,3,wp-page-60425,
safaga,Events in Safaga,/guide/safaga/annual-events-in-safaga,body heroImage seo slug summary title,yes,-12106,0/3,2026-06-12,8,wp-page-75692,
safaga,Food in Safaga,/guide/safaga/food-in-safaga,body heroImage seo slug summary title,yes,-6494,0/3,2026-06-12,5,wp-page-60444,
safaga,Getting Around Safaga,/guide/safaga/getting-around-safaga,body heroImage seo slug summary title,yes,-8966,0/3,2026-06-12,17,wp-page-60441,
safaga,Getting to Safaga,/guide/safaga/how-to-go-to-safaga,body heroImage seo slug summary title,yes,-11579,0/3,2026-06-12,17,wp-page-60439,
safaga,Only in Safaga: Black Sand and a Healing Coast,/guide/safaga/only-in-safaga,body heroImage seo slug summary title,yes,-11898,3/3,2026-07-04,12,wp-page-60445,
safaga,Safaga History,/guide/safaga/history-of-safaga,body heroImage seo slug summary title,yes,-13050,0/3,2026-06-12,14,wp-page-60436,
safaga,Safaga Weather and Best Time to Visit,/guide/safaga/weather-in-safaga,body heroImage seo slug summary title,yes,-11392,0/3,2026-06-12,5,wp-page-60438,
safaga,Things to Do in Safaga,/guide/safaga/things-to-do-in-safaga,body heroImage kind seo slug summary title,yes,-16253,3/3,2026-07-04,9,wp-page-60442,
safaga,Where to Stay in Safaga,/guide/safaga/where-to-stay-in-safaga,body heroImage section seo slug summary title,yes,-10044,3/3,2026-07-04,8,wp-page-60440,
saint-catherine,Food in Saint Catherine,/guide/saint-catherine/food-in-saint-catherine,body heroImage seo slug summary title,yes,-14265,0/3,2026-06-12,14,wp-page-60463,
saint-catherine,Getting Around Saint Catherine,/guide/saint-catherine/getting-around-saint-catherine,body heroImage seo slug summary title,yes,-17550,3/3,2026-07-04,16,wp-page-60460,
saint-catherine,How to Get to Saint Catherine,/guide/saint-catherine/how-to-go-to-saint-catherine,body heroImage seo summary title,yes,-12817,3/3,2026-07-04,24,wp-page-60458,
saint-catherine,Only in Saint Catherine,/guide/saint-catherine/only-in-saint-catherine,body heroImage seo summary title,yes,-14127,0/3,2026-06-12,23,wp-page-60464,
saint-catherine,Saint Catherine Weather and Best Time to Visit,/guide/saint-catherine/weather-in-saint-catherine,body heroImage seo slug summary title,yes,-13089,3/3,2026-07-04,16,wp-page-60457,
saint-catherine,Things to Do in Saint Catherine,/guide/saint-catherine/things-to-do-in-saint-catherine,body heroImage kind seo slug summary title,yes,-23416,0/3,2026-06-12,8,wp-page-60461,
saint-catherine,Where to Stay in Saint Catherine,/guide/saint-catherine/where-to-stay-in-saint-catherine,body heroImage section seo summary title,yes,-19450,3/3,2026-07-04,13,wp-page-60459,
sharm-el-sheikh,Food and Restaurants in Sharm El Sheikh,/guide/sharm-el-sheikh/sharm-el-sheikh-local-cuisine,body heroImage seo slug summary title,yes,-14121,0/3,2026-06-12,10,wp-page-60489,
sharm-el-sheikh,Getting Around Sharm El Sheikh,/guide/sharm-el-sheikh/getting-around-sharm-el-sheikh,body heroImage seo slug summary title,yes,-13271,0/3,2026-06-12,14,wp-page-60486,
sharm-el-sheikh,How to Get to Sharm El Sheikh,/guide/sharm-el-sheikh/transport-to-sharm-el-sheikh,body heroImage section seo slug summary title,yes,-18617,0/3,2026-06-12,24,wp-page-60484,
sharm-el-sheikh,Only Here: Sharm's Resort Geography,/guide/sharm-el-sheikh/only-in-sharm-el-sheikh,body heroImage seo slug summary title,yes,-15875,3/3,2026-07-04,23,wp-page-60490,
sharm-el-sheikh,Sharm El Sheikh History,/guide/sharm-el-sheikh/sharm-el-sheikh-historical-overview,body heroImage seo slug summary title,yes,-18019,0/3,2026-06-12,19,wp-page-60481,
sharm-el-sheikh,Sharm El Sheikh to Jerusalem and Dead Sea Full-Day Tour,/guide/sharm-el-sheikh/sharm-el-sheikh-to-jerusalem-and-dead-sea,body heroImage hidden,no,0,0/3,2026-06-12,10,wp-page-145987,
sharm-el-sheikh,Sharm El Sheikh Weather and Best Time to Visit,/guide/sharm-el-sheikh/sharm-el-sheikh-weather-guide,body heroImage seo slug summary title,yes,-11842,3/3,2026-07-04,3,wp-page-60483,
sharm-el-sheikh,Sharm El-Sheikh Private Day Tours,/guide/sharm-el-sheikh/sharm-el-sheikh-private-day-tours,body heroImage hidden,no,0,3/3,2026-07-04,20,wp-page-86911,
sharm-el-sheikh,Things to Do in Sharm El Sheikh,/guide/sharm-el-sheikh/things-to-do-in-sharm-el-sheikh,body heroImage kind seo slug summary title,yes,-24348,0/3,2026-06-12,18,wp-page-60487,
sharm-el-sheikh,Tropitel Naama Bay Sharm,/guide/sharm-el-sheikh/tropitel-naama-bay-sharm-el-sheikh,body heroImage hidden,no,0,3/3,2026-07-04,1,wp-page-61927,
sharm-el-sheikh,Where to Stay in Sharm El Sheikh,/guide/sharm-el-sheikh/accommodations-in-sharm-el-sheikh,body heroImage seo slug summary title,yes,-14270,0/3,2026-06-12,16,wp-page-60485,
siwa-oasis,Events In Siwa,/guide/siwa-oasis/events-in-siwa,body heroImage hidden,no,0,0/3,2026-06-12,4,wp-page-60511,
siwa-oasis,Siwa Dining Experiences,/guide/siwa-oasis/siwa-dining-experiences,body heroImage hidden,no,0,0/3,2026-06-12,3,wp-page-60512,
siwa-oasis,Siwa Hotel Guide,/guide/siwa-oasis/siwa-hotel-guide,body heroImage hidden,no,0,0/3,2026-06-12,11,wp-page-60508,
siwa-oasis,Siwa Only Here,/guide/siwa-oasis/siwa-only-here,body heroImage hidden,no,0,3/3,2026-07-04,3,wp-page-60513,
siwa-oasis,Siwa Weather Guide,/guide/siwa-oasis/siwa-weather-guide,body heroImage hidden,no,0,3/3,2026-07-04,3,wp-page-60506,
siwa-oasis,Things to Do in Siwa Oasis,/guide/siwa-oasis/things-to-do-in-siwa-oasis,body heroImage kind seo slug summary title,yes,-21473,3/3,2026-07-04,23,wp-page-60510,
sohag,Food in Sohag,/guide/sohag/sohag-dining-experiences,body heroImage seo slug summary title,yes,-10936,0/3,2026-06-12,14,wp-page-60539,
sohag,Getting Around Sohag,/guide/sohag/getting-around-sohag,body heroImage seo slug summary title,yes,-14226,0/3,2026-06-12,22,wp-page-60537,
sohag,Sohag Weather and Best Time to Visit,/guide/sohag/sohag-weather-guide,body heroImage seo slug summary title,yes,-10141,0/3,2026-06-12,11,wp-page-60533,
sohag,Things to Do in Sohag,/guide/sohag/things-to-do-in-sohag,body heroImage kind seo slug summary title,yes,-13591,3/3,2026-07-04,19,wp-page-60536,
sohag,Ticket Prices for Attractions in Sohag,/guide/sohag/ticket-prices-for-attractions-in-sohag,body heroImage,no,0,0/3,2026-06-12,1,wp-page-72336,
sohag,Where to Stay in Sohag,/guide/sohag/sohag-hotel-guide,body heroImage seo slug summary title,yes,-12395,0/3,2026-06-12,15,wp-page-60535,
suez,Getting Around Suez,/guide/suez/getting-around-suez,body heroImage seo slug summary title,yes,-9535,0/3,2026-06-12,12,wp-page-254140,
suez,How to Get to Suez,/guide/suez/ways-to-get-to-suez,body heroImage seo slug summary title,yes,-7013,0/3,2026-06-12,24,wp-page-60558,
suez,Suez History,/guide/suez/story-of-suez,body heroImage seo slug summary title,yes,-13562,0/3,2026-06-12,5,wp-page-60551,
suez,Suez Weather and Best Time to Visit,/guide/suez/suez-temperature-trends,body heroImage seo slug summary title,yes,-6571,0/3,2026-06-12,15,wp-page-60557,
suez,Things to Do in Suez,/guide/suez/things-to-do-in-suez,body heroImage kind seo slug summary title,yes,-9439,0/3,2026-06-12,11,wp-page-60564,
suez,Where to Stay in Suez,/guide/suez/where-to-stay-in-suez,body heroImage section seo slug summary title,yes,-10091,0/3,2026-06-12,12,wp-page-60559,
taba,Eating Out in Taba,/guide/taba/eating-out-in-taba,body heroImage seo slug summary title,yes,-13800,0/3,2026-06-12,18,wp-page-60585,
taba,Getting Around Taba,/guide/taba/getting-around-taba,body heroImage seo slug summary title,yes,-15031,3/3,2026-07-04,20,wp-page-197000,
taba,How to Get to Taba,/guide/taba/ways-to-get-to-taba,body heroImage seo slug summary title,yes,-12836,0/3,2026-06-12,21,wp-page-60582,
taba,Only in Taba,/guide/taba/only-in-taba,body heroImage seo slug summary title,yes,-7402,0/3,2026-06-12,17,wp-page-60586,
taba,Taba Heights,/guide/taba/taba-heights,body heroImage seo slug summary title,yes,-15160,0/3,2026-06-12,15,wp-page-78152,
taba,Taba History,/guide/taba/story-of-taba,body heroImage seo slug summary title,yes,-12237,3/3,2026-07-04,20,wp-page-60577,
taba,Taba Weather and Best Time to Visit,/guide/taba/taba-temperature-trends,body heroImage seo slug summary title,yes,-8780,0/3,2026-06-12,9,wp-page-60579,
taba,Things to Do in Taba,/guide/taba/things-to-do-in-taba,body heroImage kind seo slug summary title,yes,-15708,3/3,2026-07-04,18,wp-page-60583,
taba,Where to Stay in Taba,/guide/taba/best-places-to-stay-taba,body heroImage seo slug summary title,yes,-13252,0/3,2026-06-12,14,wp-page-60581,
wadi-el-natrun,Food in Wadi Al-Natron,/guide/wadi-el-natrun/where-to-eat-in-wadi-el-natrun,body heroImage seo slug summary title,yes,-7965,0/3,2026-06-12,6,wp-page-60603,
wadi-el-natrun,How to Get to Wadi Al-Natron,/guide/wadi-el-natrun/getting-to-wadi-el-natrun,body heroImage seo slug summary title,yes,-11544,0/3,2026-06-12,12,wp-page-60598,
wadi-el-natrun,Only In Wādī Al Natron,/guide/wadi-el-natrun/only-in-wadi-al-natron,body heroImage hidden,no,0,0/3,2026-06-12,1,wp-page-60604,
wadi-el-natrun,Things To Do In Wādī Al Natron,/guide/wadi-el-natrun/things-to-do-in-wadi-al-natron,body heroImage hidden,no,0,0/3,2026-06-12,1,wp-page-60601,
wadi-el-natrun,Tours and Excursions from Wadi Al-Natron,/guide/wadi-el-natrun/tours-in-wadi-el-natrun,body heroImage seo slug summary title,yes,-13586,0/3,2026-06-12,11,wp-page-60602,
wadi-el-natrun,Wadi Al-Natron History,/guide/wadi-el-natrun/wadi-el-natrun-history,body heroImage seo slug summary title,yes,-16042,3/3,2026-07-04,15,wp-page-60595,
wadi-el-natrun,Wadi Al-Natron Weather and Best Time to Visit,/guide/wadi-el-natrun/wadi-el-natrun-weather-insights,body heroImage seo slug summary title,yes,-7691,0/3,2026-06-12,9,wp-page-60597,
wadi-el-natrun,Where to Stay Near Wadi Al-Natron,/guide/wadi-el-natrun/wadi-el-natrun-accommodation-guide,body heroImage section seo slug summary title,yes,-8059,0/3,2026-06-12,6,wp-page-60599,
